"year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"3","Cole Giesige","Jr","P",7,7,2.3,43,21,14,11,17,49,2,176,149,3,0,1,1,3,4,0,0,0,4,2,388,29,51,5,2,0,18,"-","",597210,873,8891490,"http://stats.ncaa.org/players/8891490?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"41","Daniel Bruzdewicz","Jr","P",8,6,5.08,28.1,38,22,16,9,16,0,137,121,3,1,0,1,0,4,0,0,0,1,2,380,36,28,2,2,1,8,"-","",597210,873,8900510,"http://stats.ncaa.org/players/8900510?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"6","Brandon Lipson","Jr","UT",5,0,12.1,9.2,20,15,13,1,11,0,55,47,9,0,2,0,5,5,0,0,0,1,1,179,7,9,0,0,0,4,"-","",597210,873,8901215,"http://stats.ncaa.org/players/8901215?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"31","Jack Renner","Fr","P",3,0,11.12,5.2,9,7,7,5,0,0,33,26,4,0,0,2,1,1,0,0,0,1,0,82,7,10,0,0,0,0,"-","",597210,873,9105755,"http://stats.ncaa.org/players/9105755?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"37","Quincy Bell","N/A","p",3,0,11.57,2.1,2,3,3,5,2,0,14,9,0,0,0,0,0,0,0,1,0,0,0,28,1,4,0,0,0,1,"-","",597211,28744,9308636,"http://stats.ncaa.org/players/9308636?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"40","Brian Hoffma","N/A","p",4,0,15,3,6,5,5,3,1,0,19,12,1,1,0,0,0,2,0,0,0,2,0,61,5,2,0,0,0,0,"-","",597211,28744,9308645,"http://stats.ncaa.org/players/9308645?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"48","S. Specht","N/A","lf",1,0,81,0.1,2,3,3,1,0,0,5,3,1,0,1,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0,"-","",597211,28744,9311524,"http://stats.ncaa.org/players/9311524?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"39","Wayne Hudson","N/A","p",4,0,13.5,5.1,5,9,8,7,5,0,30,22,3,0,0,1,1,1,0,0,0,0,0,91,3,8,0,0,0,3,"-","",597211,28744,9308646,"http://stats.ncaa.org/players/9308646?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"9","Matthew Gera","N/A","p",2,0,4.5,2,1,1,1,0,0,0,8,6,0,0,0,0,0,2,0,2,2,0,0,12,3,2,0,0,0,0,"-","",597211,28744,9308638,"http://stats.ncaa.org/players/9308638?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"36","Ryan Hardisk","N/A","p",1,0,40.5,0.2,2,3,3,2,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"-","",597211,28744,9308640,"http://stats.ncaa.org/players/9308640?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"21","Hayden McDon","N/A","p",7,2,6.23,8.2,11,6,6,4,2,0,41,33,1,0,0,0,0,2,0,0,0,1,1,97,14,8,1,1,0,1,"-","",597211,28744,9308649,"http://stats.ncaa.org/players/9308649?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"55","C. Maier","N/A","lf",2,0,9,2,3,2,2,2,0,0,12,10,2,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,"-","",597211,28744,9311523,"http://stats.ncaa.org/players/9311523?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"51","Landyn Shaw","N/A","p",5,1,5.4,11.2,14,7,7,6,8,0,53,47,5,1,0,1,3,0,0,0,0,0,0,92,12,13,1,0,0,2,"-","",597211,28744,9308643,"http://stats.ncaa.org/players/9308643?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"34","Austin Ozarowski","N/A","p",6,1,14.54,8.2,11,15,14,9,5,0,48,35,1,0,2,3,0,2,1,0,0,2,0,171,12,8,0,0,0,3,"-","",597211,28744,9307620,"http://stats.ncaa.org/players/9307620?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"56","Conner Lane","N/A","p",5,4,6.75,21.1,24,16,16,10,20,0,97,83,8,0,0,1,3,1,0,3,3,0,3,305,13,27,2,0,0,2,"-","",597211,28744,9308647,"http://stats.ncaa.org/players/9308647?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"38","B. Najda","N/A","p",1,0,0,1,0,0,0,0,3,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"-","",597211,28744,9316320,"http://stats.ncaa.org/players/9316320?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"17","Dominic Yeager","Sr","P",8,7,3.55,38,41,18,15,11,21,0,163,143,6,0,0,4,3,3,0,0,0,4,2,460,32,51,2,1,0,6,"6-1","L/L",597211,28744,9305617,"http://stats.ncaa.org/players/9305617?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"11","John O'Connor","Sr","OF",9,6,5.26,25.2,24,21,15,15,24,0,123,103,4,1,0,1,0,3,0,0,0,1,1,309,23,27,2,3,0,3,"-","",597211,28744,9305621,"http://stats.ncaa.org/players/9305621?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"47","Colby Yaich","Jr","P",4,3,8.64,8.1,12,8,8,5,7,0,40,33,2,0,0,0,0,1,0,2,2,1,0,152,6,9,2,1,0,4,"-","",597211,28744,8880676,"http://stats.ncaa.org/players/8880676?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"32","Nick Natalie","Jr","p",9,0,7.5,6,7,5,5,5,6,0,34,24,0,0,0,1,2,1,0,2,0,2,2,103,3,8,1,0,1,1,"-","",597211,28744,8886934,"http://stats.ncaa.org/players/8886934?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"7","Nick Bamrick","So","C",1,0,0,1,0,0,0,1,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"-","",597211,28744,8881848,"http://stats.ncaa.org/players/8881848?year_stat_category_id=15688"
2025,"Albright","MAC Commonwealth",3,"23","Josh Tudor","Jr","p",10,1,4.7,23,19,15,12,10,26,0,105,88,5,1,0,3,1,5,0,1,1,1,1,290,21,20,1,3,2,7,"-","",597211,28744,8885076,"http://stats.ncaa.org/players/8885076?year_stat_category_id=15688"
